player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Corey Kispert,Wizards @ Raptors,Raptors,Wizards,2.5,hardrockbet,-140.0,1.7143,0.5833,100.0,0.5,-14.29,betonline,122.0,2.22,0.4505,100.0,0.5,11.0,9,9,10
Jabari Smith,Pelicans @ Rockets,Rockets,Pelicans,6.5,fanatics,115.0,2.15,0.4651,127.0,0.4405,-5.29,prizepicks,-118.0,1.8475,0.5413,-127.0,0.5595,3.37,10,10,10
Jalen Green,Pelicans @ Rockets,Rockets,Pelicans,3.5,betonline,-139.0,1.7194,0.5816,-862.0,0.8961,54.08,fanduel,114.0,2.14,0.4673,862.0,0.104,-77.74,9,10,10
Jonathan Isaac,Magic @ Bucks,Bucks,Magic,4.5,betmgm,105.0,2.05,0.4878,113.0,0.4695,-3.75,prizepicks,-118.0,1.8475,0.5413,-113.0,0.5305,-1.99,10,8,10
Kevin Porter,Magic @ Bucks,Bucks,Magic,3.5,prophetexchange,120.0,2.2,0.4545,128.0,0.4386,-3.51,draftkings,-145.0,1.6897,0.5918,-128.0,0.5614,-5.14,10,9,10
Nic Claxton,Nets @ Hornets,Hornets,Nets,8.5,bovada,110.0,2.1,0.4762,109.0,0.4785,0.48,espnbet,-110.0,1.9091,0.5238,-109.0,0.5215,-0.44,10,9,10
Alperen Sengun,Pelicans @ Rockets,Rockets,Pelicans,10.5,fanduel,102.0,2.02,0.495,100.0,0.5,1.0,bovada,-116.0,1.8621,0.537,100.0,0.5,-6.89,9,9,9
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,4.5,unknown,130.0,2.3,0.4348,-101.0,0.5025,15.57,hardrockbet,100.0,2.0,0.5,101.0,0.4975,-0.5,9,8,9
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,5.5,betrivers,108.0,2.08,0.4808,111.0,0.4739,-1.43,prophetexchange,-110.0,1.9091,0.5238,-111.0,0.5261,0.44,9,9,9
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,6.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,prophetexchange,124.0,2.24,0.4464,100.0,0.5,12.0,9,9,9
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,4.5,fanduel,116.0,2.16,0.463,-105.0,0.5122,10.64,caesars,120.0,2.2,0.4545,105.0,0.4878,7.32,8,9,9
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,6.5,betmgm,135.0,2.35,0.4255,100.0,0.5,17.5,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,9,8,9
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,2.5,draftkings,130.0,2.3,0.4348,136.0,0.4237,-2.55,espnbet,-150.0,1.6667,0.6,-136.0,0.5763,-3.95,9,8,9
