player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Ziaire Williams,Nets @ Hornets,Hornets,Nets,11.5,fanatics,100.0,2.0,0.5,100.0,0.5,0.0,bet365,-120.0,1.8333,0.5455,100.0,0.5,-8.34,4,4,4
Ben Sheppard,Pacers @ Hawks,Hawks,Pacers,8.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,3,3,3
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,9.5,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,betmgm,-110.0,1.9091,0.5238,104.0,0.4902,-6.42,3,3,3
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,6.5,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,3,3,3
Dayron Sharpe,Nets @ Hornets,Hornets,Nets,8.5,bet365,-120.0,1.8333,0.5455,100.0,0.5,-8.34,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,3,3,3
Gui Santos,Pistons @ Warriors,Warriors,Pistons,7.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,3,3,3
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,7.5,espnbet,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,3,3,3
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,13.5,prizepicks,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,betmgm,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,3,3,3
Jamison Battle,Wizards @ Raptors,Raptors,Wizards,10.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betmgm,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,3,3,3
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,8.5,betmgm,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,prizepicks,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,3,3,3
Mark Williams,Nets @ Hornets,Hornets,Nets,18.5,betmgm,100.0,2.0,0.5,108.0,0.4808,-3.84,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,3,3,3
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,6.5,betmgm,105.0,2.05,0.4878,113.0,0.4695,-3.75,prizepicks,-118.0,1.8475,0.5413,-113.0,0.5305,-1.99,3,3,3
Moussa Diabate,Nets @ Hornets,Hornets,Nets,10.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bet365,-105.0,1.9524,0.5122,100.0,0.5,-2.38,3,3,3
Seth Curry,Nets @ Hornets,Hornets,Nets,7.5,espnbet,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,3,3,3
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,8.5,bet365,100.0,2.0,0.5,108.0,0.4808,-3.84,betmgm,-125.0,1.8,0.5556,-108.0,0.5192,-6.54,3,3,3
Tyrese Martin,Nets @ Hornets,Hornets,Nets,10.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,bet365,-125.0,1.8,0.5556,100.0,0.5,-10.0,3,3,3
Lamelo Ball,Nets @ Hornets,Hornets,Nets,30.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,2,2,2
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,9.5,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,bet365,-120.0,1.8333,0.5455,100.0,0.5,-8.34,2,2,2
Steven Adams,Pelicans @ Rockets,Rockets,Pelicans,4.5,bet365,-135.0,1.7407,0.5745,-119.0,0.5434,-5.41,betmgm,105.0,2.05,0.4878,119.0,0.4566,-6.4,2,2,2
Jared Rhoden,Wizards @ Raptors,Raptors,Wizards,10.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,1,1,1
Luke Kornet,Lakers @ Celtics,Celtics,Lakers,6.5,draftkings,-135.0,1.7407,0.5745,100.0,0.5,-12.97,,,,,100.0,0.5,,1,0,1
Damion Baugh,Nets @ Hornets,Hornets,Nets,15.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
