player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Trendon Watford,Nets @ Hornets,Hornets,Nets,15.5,prophetexchange,105.0,2.05,0.4878,115.0,0.4651,-4.65,bovada,110.0,2.1,0.4762,-115.0,0.5349,12.33,7,6,7
Tyrese Haliburton,Pacers @ Hawks,Hawks,Pacers,34.5,betparx,-105.0,1.9524,0.5122,100.0,0.5,-2.38,betmgm,-118.0,1.8475,0.5413,100.0,0.5,-7.63,7,7,7
Yves Missi,Pelicans @ Rockets,Rockets,Pelicans,16.5,betmgm,100.0,2.0,0.5,108.0,0.4808,-3.84,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,7,7,7
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,16.5,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,betonline,101.0,2.01,0.4975,100.0,0.5,0.5,7,7,7
Ziaire Williams,Nets @ Hornets,Hornets,Nets,15.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bet365,-105.0,1.9524,0.5122,100.0,0.5,-2.38,7,7,7
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,22.5,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,6,6,6
Cam Thomas,Nets @ Hornets,Hornets,Nets,29.5,betonline,100.0,2.0,0.5,-112.0,0.5283,5.66,betmgm,100.0,2.0,0.5,112.0,0.4717,-5.66,6,6,6
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,14.5,bovada,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,betmgm,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,6,6,6
Dalton Knecht,Lakers @ Celtics,Celtics,Lakers,10.5,betmgm,-115.0,1.8696,0.5349,109.0,0.4785,-10.54,draftkings,100.0,2.0,0.5,-109.0,0.5215,4.3,6,6,6
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,11.5,prophetexchange,127.0,2.27,0.4405,102.0,0.495,12.37,bet365,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,6,5,6
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,12.5,bovada,-108.0,1.9259,0.5192,104.0,0.4902,-5.59,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,6,6,6
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,10.5,betmgm,100.0,2.0,0.5,108.0,0.4808,-3.84,betonline,-105.0,1.9524,0.5122,-108.0,0.5192,1.37,6,6,6
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,27.5,betonline,-109.0,1.9174,0.5215,102.0,0.495,-5.09,bet365,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,6,6,6
Mark Williams,Nets @ Hornets,Hornets,Nets,28.5,betonline,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,prophetexchange,118.0,2.18,0.4587,102.0,0.495,7.91,5,6,6
Moussa Diabate,Nets @ Hornets,Hornets,Nets,20.5,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,betonline,-104.0,1.9615,0.5098,108.0,0.4808,-5.69,6,6,6
Ron Holland,Pistons @ Warriors,Warriors,Pistons,8.5,espnbet,100.0,2.0,0.5,108.0,0.4808,-3.84,betmgm,100.0,2.0,0.5,-108.0,0.5192,3.84,6,5,6
Tj Mcconnell,Pacers @ Hawks,Hawks,Pacers,20.5,fanduel,-106.0,1.9434,0.5146,102.0,0.495,-3.8,prophetexchange,150.0,2.5,0.4,-102.0,0.5049,26.23,5,6,6
Tyrese Martin,Nets @ Hornets,Hornets,Nets,13.5,bovada,-111.0,1.9009,0.5261,101.0,0.4975,-5.43,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,6,6,6
Gui Santos,Pistons @ Warriors,Warriors,Pistons,11.5,betmgm,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betonline,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,5,5,5
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,17.5,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,bovada,-103.0,1.9709,0.5074,108.0,0.4808,-5.24,5,5,5
Lamelo Ball,Nets @ Hornets,Hornets,Nets,35.5,bovada,-112.0,1.8929,0.5283,100.0,0.5,-5.35,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,5,5,5
Nic Claxton,Nets @ Hornets,Hornets,Nets,22.5,betmgm,115.0,2.15,0.4651,113.0,0.4695,0.94,bet365,-115.0,1.8696,0.5349,-113.0,0.5305,-0.82,5,5,5
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,15.5,betmgm,125.0,2.25,0.4444,124.0,0.4464,0.44,bet365,-115.0,1.8696,0.5349,-124.0,0.5536,3.5,5,5,5
Steven Adams,Pelicans @ Rockets,Rockets,Pelicans,9.5,bovada,-114.0,1.8772,0.5327,100.0,0.5,-6.14,prophetexchange,142.0,2.42,0.4132,100.0,0.5,21.0,4,5,5
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,12.5,espnbet,-105.0,1.9524,0.5122,-103.0,0.5074,-0.94,betmgm,100.0,2.0,0.5,103.0,0.4926,-1.48,5,5,5
Keon Johnson,Nets @ Hornets,Hornets,Nets,19.5,bovada,-109.0,1.9174,0.5215,102.0,0.495,-5.09,bet365,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,4,4,4
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,13.5,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bovada,118.0,2.18,0.4587,100.0,0.5,9.0,4,4,4
Aj Lawson,Wizards @ Raptors,Raptors,Wizards,13.5,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,prophetexchange,136.0,2.36,0.4237,100.0,0.5,18.0,2,3,3
Gabe Vincent,Lakers @ Celtics,Celtics,Lakers,8.5,betmgm,-105.0,1.9524,0.5122,102.0,0.495,-3.36,prophetexchange,122.0,2.22,0.4505,-102.0,0.5049,12.09,2,3,3
Jamison Battle,Wizards @ Raptors,Raptors,Wizards,13.5,betmgm,-110.0,1.9091,0.5238,103.0,0.4926,-5.96,bet365,-105.0,1.9524,0.5122,-103.0,0.5074,-0.94,3,3,3
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,14.5,bet365,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,3,3,3
Luke Kornet,Lakers @ Celtics,Celtics,Lakers,10.5,betonline,-110.0,1.9091,0.5238,-113.0,0.5305,1.28,draftkings,100.0,2.0,0.5,113.0,0.4695,-6.1,3,3,3
Seth Curry,Nets @ Hornets,Hornets,Nets,9.5,bet365,-110.0,1.9091,0.5238,-106.0,0.5146,-1.76,prophetexchange,142.0,2.42,0.4132,106.0,0.4854,17.47,2,3,3
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,11.5,espnbet,100.0,2.0,0.5,113.0,0.4695,-6.1,espnbet,-130.0,1.7692,0.5652,-113.0,0.5305,-6.14,2,2,2
Sam Hauser,Lakers @ Celtics,Celtics,Lakers,12.5,draftkings,-110.0,1.9091,0.5238,104.0,0.4902,-6.42,draftkings,-120.0,1.8333,0.5455,-104.0,0.5098,-6.54,2,2,2
Damion Baugh,Nets @ Hornets,Hornets,Nets,18.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jared Rhoden,Wizards @ Raptors,Raptors,Wizards,14.5,,,,,104.0,0.4902,,,,,,-104.0,0.5098,,0,0,0
