player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Gui Santos,Pistons @ Warriors,Warriors,Pistons,0.5,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,betonline,-103.0,1.9709,0.5074,108.0,0.4808,-5.24,6,6,6
Ron Holland,Pistons @ Warriors,Warriors,Pistons,0.5,betonline,149.0,2.49,0.4016,151.0,0.3984,-0.8,betmgm,-175.0,1.5714,0.6364,-151.0,0.6016,-5.46,6,4,6
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,1.5,bovada,171.0,2.71,0.369,145.0,0.4082,10.62,bet365,-165.0,1.6061,0.6226,-145.0,0.5918,-4.95,6,6,6
Tyrese Martin,Nets @ Hornets,Hornets,Nets,1.5,bet365,105.0,2.05,0.4878,117.0,0.4608,-5.54,bovada,-133.0,1.7519,0.5708,-117.0,0.5392,-5.54,6,6,6
Aj Lawson,Wizards @ Raptors,Raptors,Wizards,1.5,unknown,160.0,2.6,0.3846,112.0,0.4717,22.64,underdog,-118.0,1.8475,0.5413,-112.0,0.5283,-2.4,5,4,5
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,2.5,bet365,140.0,2.4,0.4167,100.0,0.5,20.0,fanduel,154.0,2.54,0.3937,100.0,0.5,27.0,5,5,5
Lamelo Ball,Nets @ Hornets,Hornets,Nets,3.5,betmgm,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,prizepicks,-118.0,1.8475,0.5413,-107.0,0.5169,-4.5,5,5,5
Sam Hauser,Lakers @ Celtics,Celtics,Lakers,2.5,draftkings,140.0,2.4,0.4167,148.0,0.4032,-3.23,draftkings,-180.0,1.5556,0.6428,-148.0,0.5968,-7.16,5,3,5
Tj Mcconnell,Pacers @ Hawks,Hawks,Pacers,0.5,bet365,150.0,2.5,0.4,163.0,0.3802,-4.95,fanatics,-170.0,1.5882,0.6296,-163.0,0.6198,-1.56,5,5,5
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,0.5,bet365,-150.0,1.6667,0.6,-136.0,0.5763,-3.95,bovada,125.0,2.25,0.4444,136.0,0.4237,-4.67,4,4,4
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,1.5,bet365,100.0,2.0,0.5,113.0,0.4695,-6.1,bet365,-130.0,1.7692,0.5652,-113.0,0.5305,-6.14,4,4,4
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,0.5,draftkings,250.0,3.5,0.2857,130.0,0.4348,52.18,bovada,-149.0,1.6711,0.5984,-130.0,0.5652,-5.55,4,4,4
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,0.5,bet365,-210.0,1.4762,0.6774,-175.0,0.6364,-6.05,bet365,165.0,2.65,0.3774,175.0,0.3636,-3.65,3,2,3
