player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Gabe Vincent,Lakers @ Celtics,Celtics,Lakers,7.5,espnbet,-105.0,1.9524,0.5122,106.0,0.4854,-5.23,betmgm,105.0,2.05,0.4878,-106.0,0.5146,5.49,5,5,5
Jamal Shead,Wizards @ Raptors,Raptors,Wizards,14.5,espnbet,100.0,2.0,0.5,104.0,0.4902,-1.96,bet365,-115.0,1.8696,0.5349,-104.0,0.5098,-4.69,5,5,5
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,10.5,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,5,5,5
Kevon Looney,Pistons @ Warriors,Warriors,Pistons,9.5,betmgm,-115.0,1.8696,0.5349,100.0,0.5,-6.52,espnbet,-115.0,1.8696,0.5349,100.0,0.5,-6.52,5,5,5
Marcus Smart,Wizards @ Raptors,Raptors,Wizards,10.5,betmgm,115.0,2.15,0.4651,100.0,0.5,7.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,5,5,5
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,10.5,caesars,-113.0,1.885,0.5305,-105.0,0.5122,-3.45,betmgm,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,4,5,5
Moussa Diabate,Nets @ Hornets,Hornets,Nets,19.5,hardrockbet,100.0,2.0,0.5,100.0,0.5,0.0,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,5,5,5
Nick Jr Smith,Nets @ Hornets,Hornets,Nets,17.5,betmgm,-115.0,1.8696,0.5349,100.0,0.5,-6.52,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,5,5,5
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,10.5,bet365,100.0,2.0,0.5,-104.0,0.5098,1.96,prophetexchange,104.0,2.04,0.4902,104.0,0.4902,0.0,4,5,5
Gui Santos,Pistons @ Warriors,Warriors,Pistons,9.5,betmgm,-115.0,1.8696,0.5349,101.0,0.4975,-6.99,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,4,4,4
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,14.5,betmgm,105.0,2.05,0.4878,100.0,0.5,2.5,fanduel,100.0,2.0,0.5,100.0,0.5,0.0,4,4,4
Thomas Bryant,Pacers @ Hawks,Hawks,Pacers,11.5,bet365,-120.0,1.8333,0.5455,-108.0,0.5192,-4.82,caesars,-103.0,1.9709,0.5074,108.0,0.4808,-5.24,4,4,4
Tyrese Martin,Nets @ Hornets,Hornets,Nets,11.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,4,4,4
Zaccharie Risacher,Pacers @ Hawks,Hawks,Pacers,16.5,fanatics,-115.0,1.8696,0.5349,-103.0,0.5074,-5.14,betparx,-107.0,1.9346,0.5169,103.0,0.4926,-4.7,4,4,4
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,8.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,3,3,3
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,9.5,espnbet,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,underdog,-118.0,1.8475,0.5413,-104.0,0.5098,-5.81,3,3,3
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,16.5,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,3,3,3
