player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,9.5,fanatics,110.0,2.1,0.4762,103.0,0.4926,3.45,bet365,-115.0,1.8696,0.5349,-103.0,0.5074,-5.14,4,4,4
Cam Thomas,Nets @ Hornets,Hornets,Nets,6.5,betmgm,-110.0,1.9091,0.5238,-103.0,0.5074,-3.13,fanatics,105.0,2.05,0.4878,103.0,0.4926,0.98,4,4,4
Dangelo Russell,Nets @ Hornets,Hornets,Nets,7.5,fanatics,105.0,2.05,0.4878,100.0,0.5,2.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,4,4,4
Dorian Finneysmith,Lakers @ Celtics,Celtics,Lakers,5.5,espnbet,-110.0,1.9091,0.5238,102.0,0.495,-5.5,bet365,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,4,4,4
Gabe Vincent,Lakers @ Celtics,Celtics,Lakers,2.5,betmgm,115.0,2.15,0.4651,115.0,0.4651,-0.0,prophetexchange,-104.0,1.9615,0.5098,-115.0,0.5349,4.92,4,4,4
Goga Bitadze,Magic @ Bucks,Bucks,Magic,6.5,fanatics,120.0,2.2,0.4545,100.0,0.5,10.0,betmgm,-105.0,1.9524,0.5122,100.0,0.5,-2.38,4,4,4
Jalen Wilson,Nets @ Hornets,Hornets,Nets,5.5,betmgm,125.0,2.25,0.4444,134.0,0.4274,-3.84,bet365,-140.0,1.7143,0.5833,-134.0,0.5726,-1.84,4,4,4
Jordan Hawkins,Pelicans @ Rockets,Rockets,Pelicans,4.5,fanatics,125.0,2.25,0.4444,100.0,0.5,12.5,bet365,-145.0,1.6897,0.5918,100.0,0.5,-15.52,4,4,4
Jose Alvarado,Pelicans @ Rockets,Rockets,Pelicans,6.5,fanatics,120.0,2.2,0.4545,-108.0,0.5192,14.22,bet365,-135.0,1.7407,0.5745,108.0,0.4808,-16.31,4,4,4
Kevin Porter,Magic @ Bucks,Bucks,Magic,6.5,fanatics,120.0,2.2,0.4545,130.0,0.4348,-4.34,betmgm,110.0,2.1,0.4762,-130.0,0.5652,18.69,4,3,4
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,4.5,betmgm,100.0,2.0,0.5,108.0,0.4808,-3.84,hardrockbet,120.0,2.2,0.4545,-108.0,0.5192,14.22,4,4,4
Orlando Robinson,Wizards @ Raptors,Raptors,Wizards,7.5,betmgm,-110.0,1.9091,0.5238,103.0,0.4926,-5.96,fanatics,-115.0,1.8696,0.5349,-103.0,0.5074,-5.14,4,4,4
Seth Curry,Nets @ Hornets,Hornets,Nets,2.5,fanatics,115.0,2.15,0.4651,123.0,0.4484,-3.59,bet365,-130.0,1.7692,0.5652,-123.0,0.5516,-2.41,4,4,4
Simone Fontecchio,Pistons @ Warriors,Warriors,Pistons,2.5,fanatics,140.0,2.4,0.4167,154.0,0.3937,-5.51,bet365,135.0,2.35,0.4255,-154.0,0.6063,42.48,4,4,4
Tidjane Salaun,Nets @ Hornets,Hornets,Nets,5.5,espnbet,110.0,2.1,0.4762,100.0,0.5,5.0,bet365,115.0,2.15,0.4651,100.0,0.5,7.5,4,4,4
Yves Missi,Pelicans @ Rockets,Rockets,Pelicans,8.5,betmgm,105.0,2.05,0.4878,113.0,0.4695,-3.75,bet365,-130.0,1.7692,0.5652,-113.0,0.5305,-6.14,4,4,4
Aj Lawson,Wizards @ Raptors,Raptors,Wizards,4.5,betmgm,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,3,3,3
Chris Boucher,Wizards @ Raptors,Raptors,Wizards,5.5,draftkings,105.0,2.05,0.4878,115.0,0.4651,-4.65,bet365,-115.0,1.8696,0.5349,-115.0,0.5349,0.0,3,3,3
Daquan Jeffries,Nets @ Hornets,Hornets,Nets,3.5,fanatics,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,bet365,125.0,2.25,0.4444,-108.0,0.5192,16.82,3,3,3
Gui Santos,Pistons @ Warriors,Warriors,Pistons,5.5,bet365,-125.0,1.8,0.5556,-120.0,0.5455,-1.81,fanatics,115.0,2.15,0.4651,120.0,0.4545,-2.28,3,3,3
Haywood Highsmith,Bulls @ Heat,Heat,Bulls,5.5,espnbet,115.0,2.15,0.4651,118.0,0.4587,-1.38,fanatics,-130.0,1.7692,0.5652,-118.0,0.5413,-4.23,3,3,3
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,5.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,3,3,3
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,6.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,3,3,3
Karlo Matkovic,Pelicans @ Rockets,Rockets,Pelicans,6.5,fanatics,125.0,2.25,0.4444,115.0,0.4651,4.65,bet365,-130.0,1.7692,0.5652,-115.0,0.5349,-5.37,3,3,3
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,8.5,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,bet365,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,3,3,3
Lamelo Ball,Nets @ Hornets,Hornets,Nets,11.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,3,3,3
Mark Williams,Nets @ Hornets,Hornets,Nets,12.5,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,betmgm,100.0,2.0,0.5,108.0,0.4808,-3.84,3,3,3
Richaun Holmes,Wizards @ Raptors,Raptors,Wizards,7.5,bet365,-120.0,1.8333,0.5455,-108.0,0.5192,-4.82,betmgm,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,3,3,3
Trendon Watford,Nets @ Hornets,Hornets,Nets,6.5,espnbet,100.0,2.0,0.5,110.0,0.4762,-4.76,bet365,-125.0,1.8,0.5556,-110.0,0.5238,-5.72,3,3,3
Jamison Battle,Wizards @ Raptors,Raptors,Wizards,5.5,fanatics,115.0,2.15,0.4651,-104.0,0.5098,9.61,betmgm,-150.0,1.6667,0.6,104.0,0.4902,-18.3,2,2,2
Keon Johnson,Nets @ Hornets,Hornets,Nets,7.5,bet365,105.0,2.05,0.4878,100.0,0.5,2.5,prizepicks,-118.0,1.8475,0.5413,100.0,0.5,-7.63,2,2,2
Ron Holland,Pistons @ Warriors,Warriors,Pistons,2.5,betmgm,-145.0,1.6897,0.5918,-126.0,0.5575,-5.8,espnbet,115.0,2.15,0.4651,126.0,0.4425,-4.86,2,2,2
Steven Adams,Pelicans @ Rockets,Rockets,Pelicans,6.5,betmgm,105.0,2.05,0.4878,112.0,0.4717,-3.3,bet365,-120.0,1.8333,0.5455,-112.0,0.5283,-3.15,2,2,2
Tj Mcconnell,Pacers @ Hawks,Hawks,Pacers,9.5,betmgm,100.0,2.0,0.5,114.0,0.4673,-6.54,bet365,-130.0,1.7692,0.5652,-114.0,0.5327,-5.75,2,2,2
Jared Rhoden,Wizards @ Raptors,Raptors,Wizards,5.5,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,underdog,-118.0,1.8475,0.5413,100.0,0.5,-7.63,1,1,1
Luke Kornet,Lakers @ Celtics,Celtics,Lakers,6.5,fanatics,-125.0,1.8,0.5556,-108.0,0.5192,-6.54,fanatics,-105.0,1.9524,0.5122,108.0,0.4808,-6.13,1,1,1
Damion Baugh,Nets @ Hornets,Hornets,Nets,8.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
